left_child,right_child,distance,size
45958.0,52536.0,0.0,3.0
45938.0,46048.0,0.0,2.0
45935.0,45934.0,0.0,2.0
18924.0,10296.0,0.0,2.0
18958.0,52544.0,0.0,3.0
18957.0,52545.0,0.0,4.0
45923.0,47939.0,0.0,2.0
18948.0,28105.0,0.0,2.0
45924.0,52547.0,0.0,3.0
18944.0,52452.0,0.0,3.0
18943.0,19032.0,0.0,2.0
18939.0,14949.0,0.0,2.0
45927.0,45928.0,0.0,2.0
45929.0,52553.0,0.0,3.0
45930.0,45932.0,0.0,2.0
18928.0,18929.0,0.0,2.0
45931.0,52555.0,0.0,3.0
45933.0,52543.0,0.0,3.0
18925.0,52546.0,0.0,5.0
18885.0,52540.0,0.0,3.0
18960.0,18959.0,0.0,2.0
18884.0,51606.0,0.0,2.0
45962.0,45964.0,0.0,2.0
18848.0,48761.0,0.0,2.0
18847.0,45563.0,0.0,2.0
18844.0,18845.0,0.0,2.0
18843.0,18643.0,0.0,2.0
18835.0,17670.0,0.0,2.0
18834.0,52568.0,0.0,3.0
18849.0,52566.0,0.0,3.0
18831.0,32674.0,0.0,2.0
18821.0,19060.0,0.0,2.0
18814.0,52525.0,0.0,5.0
18813.0,5104.0,0.0,2.0
18812.0,18785.0,0.0,2.0
18811.0,52575.0,0.0,3.0
18810.0,18732.0,0.0,2.0
18822.0,52572.0,0.0,3.0
18850.0,52578.0,0.0,4.0
18851.0,52579.0,0.0,5.0
45976.0,45974.0,0.0,2.0
18879.0,10948.0,0.0,2.0
18878.0,52539.0,0.0,4.0
18877.0,18876.0,0.0,2.0
18875.0,19529.0,0.0,2.0
18874.0,52585.0,0.0,3.0
18873.0,52583.0,0.0,5.0
45963.0,52563.0,0.0,3.0
45965.0,45966.0,0.0,2.0
18867.0,18866.0,0.0,2.0
18865.0,52590.0,0.0,3.0
18864.0,52591.0,0.0,4.0
18863.0,52592.0,0.0,5.0
18862.0,52593.0,0.0,6.0
45967.0,52589.0,0.0,3.0
45975.0,52581.0,0.0,3.0
18883.0,52587.0,0.0,6.0
19496.0,46927.0,0.0,2.0
18964.0,18965.0,0.0,2.0
18974.0,705.0,0.0,2.0
19113.0,52562.0,0.0,3.0
19112.0,52597.0,0.0,7.0
19111.0,19110.0,0.0,2.0
19105.0,52603.0,0.0,3.0
19104.0,52604.0,0.0,4.0
45852.0,45897.0,0.0,2.0
19114.0,52601.0,0.0,4.0
19098.0,52425.0,0.0,7.0
19096.0,31676.0,0.0,2.0
19086.0,52530.0,0.0,5.0
19085.0,52524.0,0.0,3.0
19084.0,52054.0,0.0,2.0
45854.0,45866.0,0.0,2.0
19082.0,52610.0,0.0,6.0
19097.0,16009.0,0.0,2.0
45846.0,35294.0,0.0,2.0
19121.0,27545.0,0.0,2.0
19122.0,52617.0,0.0,3.0
19149.0,52611.0,0.0,4.0
19148.0,52586.0,0.0,4.0
19144.0,52615.0,0.0,3.0
19143.0,52620.0,0.0,5.0
45835.0,48902.0,0.0,2.0
19141.0,31736.0,0.0,2.0
19140.0,52573.0,0.0,6.0
19139.0,52625.0,0.0,7.0
19137.0,52624.0,0.0,3.0
19136.0,52627.0,0.0,4.0
19130.0,52470.0,0.0,3.0
19129.0,52623.0,0.0,3.0
19128.0,52630.0,0.0,4.0
19126.0,537.0,0.0,2.0
19123.0,52619.0,0.0,5.0
19081.0,52614.0,0.0,7.0
18970.0,1751.0,0.0,2.0
19080.0,52634.0,0.0,8.0
19078.0,19077.0,0.0,2.0
52613.0,50930.0,0.0,3.0
19033.0,52551.0,0.0,3.0
19019.0,18622.0,0.0,2.0
19016.0,52602.0,0.0,8.0
19013.0,5635.0,0.0,2.0
19001.0,52641.0,0.0,9.0
45864.0,45884.0,0.0,2.0
18996.0,18979.0,0.0,2.0
18989.0,5257.0,0.0,2.0
45899.0,52606.0,0.0,3.0
18984.0,11176.0,0.0,2.0
18983.0,52648.0,0.0,3.0
18978.0,52645.0,0.0,3.0
18975.0,52600.0,0.0,3.0
18995.0,52650.0,0.0,4.0
19049.0,46484.0,0.0,2.0
19050.0,10502.0,0.0,2.0
19051.0,52643.0,0.0,10.0
19076.0,52612.0,0.0,3.0
19075.0,27037.0,0.0,2.0
19074.0,52657.0,0.0,3.0
45855.0,52638.0,0.0,4.0
19072.0,605.0,0.0,2.0
19069.0,31136.0,0.0,2.0
19067.0,51577.0,0.0,2.0
19066.0,18783.0,0.0,2.0
19063.0,52660.0,0.0,3.0
19062.0,52664.0,0.0,4.0
19061.0,52655.0,0.0,11.0
19059.0,52580.0,0.0,6.0
19057.0,46486.0,0.0,2.0
19056.0,52668.0,0.0,3.0
19055.0,16046.0,0.0,2.0
19079.0,52637.0,0.0,3.0
19499.0,52666.0,0.0,12.0
19502.0,19501.0,0.0,2.0
19503.0,27704.0,0.0,2.0
19921.0,28828.0,0.0,2.0
19920.0,52675.0,0.0,3.0
45385.0,45384.0,0.0,2.0
19917.0,4850.0,0.0,2.0
19910.0,19911.0,0.0,2.0
19909.0,2154.0,0.0,2.0
19922.0,52633.0,0.0,6.0
19908.0,52676.0,0.0,4.0
19904.0,19795.0,0.0,2.0
19902.0,15055.0,0.0,2.0
19901.0,19899.0,0.0,2.0
19900.0,52685.0,0.0,3.0
19897.0,27473.0,0.0,2.0
19896.0,10452.0,0.0,2.0
19907.0,52682.0,0.0,5.0
19923.0,49844.0,0.0,2.0
19924.0,52690.0,0.0,3.0
19927.0,52683.0,0.0,3.0
19967.0,28820.0,0.0,2.0
19964.0,19943.0,0.0,2.0
19960.0,52694.0,0.0,3.0
19959.0,52692.0,0.0,4.0
19955.0,52681.0,0.0,7.0
19953.0,19954.0,0.0,2.0
19948.0,5706.0,0.0,2.0
19946.0,52678.0,0.0,3.0
19945.0,52698.0,0.0,3.0
19944.0,52701.0,0.0,4.0
19939.0,20612.0,0.0,2.0
19938.0,52696.0,0.0,5.0
19937.0,15021.0,0.0,2.0
19936.0,52705.0,0.0,3.0
