parent,left_child,right_child,distance,size
52901,24068.0,24066.0,0.0,2.0
52902,24062.0,24061.0,0.0,2.0
52903,24058.0,24060.0,0.0,2.0
52904,24055.0,52903.0,0.0,3.0
52905,24052.0,52904.0,0.0,4.0
52906,47682.0,47681.0,0.0,2.0
52907,47683.0,52898.0,0.0,3.0
52908,47685.0,47667.0,0.0,2.0
52909,24046.0,1396.0,0.0,2.0
52910,24045.0,52909.0,0.0,3.0
52911,24044.0,52910.0,0.0,4.0
52912,24041.0,2809.0,0.0,2.0
52913,24040.0,52912.0,0.0,3.0
52914,24039.0,52911.0,0.0,5.0
52915,24036.0,24034.0,0.0,2.0
52916,24035.0,1017.0,0.0,2.0
52917,47668.0,47684.0,0.0,2.0
52918,47666.0,52908.0,0.0,3.0
52919,47665.0,52899.0,0.0,3.0
52920,47660.0,52869.0,0.0,3.0
52921,47639.0,52907.0,0.0,4.0
52922,47641.0,52919.0,0.0,4.0
52923,47645.0,47643.0,0.0,2.0
52924,24123.0,24122.0,0.0,2.0
52925,47646.0,32519.0,0.0,2.0
52926,47650.0,52918.0,0.0,4.0
52927,47651.0,52921.0,0.0,5.0
52928,24112.0,921.0,0.0,2.0
52929,24110.0,1004.0,0.0,2.0
52930,24136.0,52866.0,0.0,4.0
52931,47652.0,52926.0,0.0,5.0
52932,47653.0,52922.0,0.0,5.0
52933,24103.0,1015.0,0.0,2.0
52934,24100.0,52781.0,0.0,3.0
52935,24099.0,52934.0,0.0,4.0
52936,24097.0,52935.0,0.0,5.0
52937,24096.0,52936.0,0.0,6.0
52938,47656.0,52931.0,0.0,6.0
52939,47658.0,52932.0,0.0,6.0
52940,47659.0,52939.0,0.0,7.0
52941,24107.0,24104.0,0.0,2.0
52942,23645.0,23642.0,0.0,2.0
52943,23644.0,52942.0,0.0,3.0
52944,23643.0,14377.0,0.0,2.0
52945,48217.0,52471.0,0.0,8.0
52946,48219.0,52945.0,0.0,9.0
52947,48220.0,14432.0,0.0,2.0
52948,23277.0,23281.0,0.0,2.0
52949,48223.0,52946.0,0.0,10.0
52950,23272.0,1377.0,0.0,2.0
52951,48224.0,52949.0,0.0,11.0
52952,48225.0,48226.0,0.0,2.0
52953,48227.0,52951.0,0.0,12.0
52954,23266.0,33773.0,0.0,2.0
52955,23264.0,52954.0,0.0,3.0
52956,23263.0,52518.0,0.0,3.0
52957,23261.0,33670.0,0.0,2.0
52958,23258.0,23262.0,0.0,2.0
52959,23257.0,33989.0,0.0,2.0
52960,23253.0,52956.0,0.0,4.0
52961,23252.0,52960.0,0.0,5.0
52962,23251.0,23250.0,0.0,2.0
52963,23249.0,52961.0,0.0,6.0
52964,48215.0,48347.0,0.0,2.0
52965,48214.0,52953.0,0.0,13.0
52966,48211.0,52965.0,0.0,14.0
52967,48207.0,48206.0,0.0,2.0
52968,48141.0,36076.0,0.0,2.0
52969,48142.0,14612.0,0.0,2.0
52970,23369.0,23366.0,0.0,2.0
52971,23368.0,52970.0,0.0,3.0
52972,23367.0,52971.0,0.0,4.0
52973,23365.0,52972.0,0.0,5.0
52974,23354.0,23353.0,0.0,2.0
52975,23352.0,52974.0,0.0,3.0
52976,48152.0,3021.0,0.0,2.0
52977,23247.0,52963.0,0.0,7.0
52978,23335.0,23329.0,0.0,2.0
52979,23332.0,52978.0,0.0,3.0
52980,23330.0,52979.0,0.0,4.0
52981,23327.0,23326.0,0.0,2.0
52982,23320.0,48071.0,0.0,2.0
52983,48174.0,1266.0,0.0,2.0
52984,48193.0,48192.0,0.0,2.0
52985,48197.0,52967.0,0.0,3.0
52986,23311.0,5011.0,0.0,2.0
52987,48204.0,48200.0,0.0,2.0
52988,23333.0,52980.0,0.0,5.0
52989,23374.0,52973.0,0.0,6.0
52990,48228.0,52966.0,0.0,15.0
52991,23242.0,52958.0,0.0,3.0
52992,23203.0,23192.0,0.0,2.0
52993,23202.0,23191.0,0.0,2.0
52994,23200.0,52993.0,0.0,3.0
52995,23198.0,52994.0,0.0,4.0
52996,23197.0,52992.0,0.0,3.0
52997,23196.0,52995.0,0.0,5.0
52998,23194.0,52997.0,0.0,6.0
52999,23187.0,52996.0,0.0,4.0
53000,23186.0,23190.0,0.0,2.0
53001,23185.0,52999.0,0.0,5.0
53002,23183.0,23182.0,0.0,2.0
53003,23181.0,33757.0,0.0,2.0
53004,23179.0,33674.0,0.0,2.0
53005,48237.0,8260.0,0.0,2.0
53006,23171.0,52957.0,0.0,3.0
