parent,left_child,right_child,distance,size
52794,27944.0,27945.0,0.0,2.0
52795,27860.0,52738.0,0.0,3.0
52796,27942.0,27941.0,0.0,2.0
52797,27938.0,27935.0,0.0,2.0
52798,27937.0,52797.0,0.0,3.0
52799,27936.0,52798.0,0.0,4.0
52800,27934.0,27933.0,0.0,2.0
52801,27932.0,27931.0,0.0,2.0
52802,27929.0,52454.0,0.0,3.0
52803,27927.0,27926.0,0.0,2.0
52804,27921.0,52766.0,0.0,3.0
52805,27920.0,52804.0,0.0,4.0
52806,27940.0,29540.0,0.0,2.0
52807,27859.0,28755.0,0.0,2.0
52808,27858.0,52767.0,0.0,4.0
52809,27857.0,52776.0,0.0,7.0
52810,27804.0,27805.0,0.0,2.0
52811,52535.0,52524.0,0.0,8.0
52812,27792.0,27791.0,0.0,2.0
52813,27783.0,27784.0,0.0,2.0
52814,27782.0,52813.0,0.0,3.0
52815,27779.0,52814.0,0.0,4.0
52816,27776.0,27786.0,0.0,2.0
52817,27775.0,52815.0,0.0,5.0
52818,27774.0,27765.0,0.0,2.0
52819,27806.0,27614.0,0.0,2.0
52820,27773.0,52817.0,0.0,6.0
52821,27767.0,11341.0,0.0,2.0
52822,27766.0,52821.0,0.0,3.0
52823,27764.0,27763.0,0.0,2.0
52824,27760.0,52820.0,0.0,7.0
52825,27758.0,19177.0,0.0,2.0
52826,27755.0,52823.0,0.0,3.0
52827,27754.0,34616.0,0.0,2.0
52828,27752.0,52822.0,0.0,4.0
52829,27750.0,27769.0,0.0,2.0
52830,27771.0,52824.0,0.0,8.0
52831,27960.0,46489.0,0.0,2.0
52832,27810.0,52783.0,0.0,3.0
52833,27814.0,26249.0,0.0,2.0
52834,27856.0,52690.0,0.0,3.0
52835,27855.0,27854.0,0.0,2.0
52836,27853.0,15380.0,0.0,2.0
52837,27852.0,52808.0,0.0,5.0
52838,27851.0,52837.0,0.0,6.0
52839,27848.0,52834.0,0.0,4.0
52840,27844.0,20234.0,0.0,2.0
52841,27843.0,52840.0,0.0,3.0
52842,27840.0,52781.0,0.0,9.0
52843,27811.0,52832.0,0.0,4.0
52844,27839.0,52842.0,0.0,10.0
52845,27837.0,52504.0,0.0,5.0
52846,27835.0,52844.0,0.0,11.0
52847,27834.0,52846.0,0.0,12.0
52848,27832.0,48822.0,0.0,2.0
52849,27829.0,27828.0,0.0,2.0
52850,27826.0,52843.0,0.0,5.0
52851,27819.0,10434.0,0.0,2.0
52852,27818.0,52422.0,0.0,5.0
52853,27816.0,52775.0,0.0,4.0
52854,27838.0,52807.0,0.0,3.0
52855,27961.0,52831.0,0.0,3.0
52856,27962.0,29320.0,0.0,2.0
52857,27965.0,52706.0,0.0,3.0
52858,28114.0,28173.0,0.0,2.0
52859,28113.0,52854.0,0.0,4.0
52860,28112.0,52795.0,0.0,4.0
52861,28111.0,52743.0,0.0,3.0
52862,28110.0,35464.0,0.0,2.0
52863,28109.0,35122.0,0.0,2.0
52864,28108.0,27250.0,0.0,2.0
52865,28105.0,5609.0,0.0,2.0
52866,28104.0,52865.0,0.0,3.0
52867,28115.0,52858.0,0.0,3.0
52868,28103.0,5979.0,0.0,2.0
52869,28099.0,28100.0,0.0,2.0
52870,28096.0,26829.0,0.0,2.0
52871,28095.0,52512.0,0.0,4.0
52872,28094.0,28057.0,0.0,2.0
52873,28088.0,29490.0,0.0,2.0
52874,28085.0,52866.0,0.0,4.0
52875,28084.0,52874.0,0.0,5.0
52876,28083.0,52754.0,0.0,3.0
52877,28082.0,52876.0,0.0,4.0
52878,28102.0,28097.0,0.0,2.0
52879,28080.0,49821.0,0.0,2.0
52880,28116.0,30511.0,0.0,2.0
52881,28119.0,52861.0,0.0,4.0
52882,28157.0,52752.0,0.0,6.0
52883,28155.0,430.0,0.0,2.0
52884,28154.0,19328.0,0.0,2.0
52885,28152.0,52845.0,0.0,6.0
52886,28151.0,52883.0,0.0,3.0
52887,28150.0,52863.0,0.0,3.0
52888,28149.0,28148.0,0.0,2.0
52889,28146.0,28145.0,0.0,2.0
52890,28143.0,15402.0,0.0,2.0
52891,28117.0,28093.0,0.0,2.0
52892,28142.0,52890.0,0.0,3.0
52893,28139.0,28138.0,0.0,2.0
52894,28136.0,52886.0,0.0,4.0
52895,28134.0,10790.0,0.0,2.0
52896,28133.0,52895.0,0.0,3.0
52897,28132.0,52749.0,0.0,4.0
52898,28129.0,27295.0,0.0,2.0
52899,28128.0,52664.0,0.0,3.0
52900,28123.0,28122.0,0.0,2.0
52901,28120.0,52881.0,0.0,5.0
52902,28141.0,52892.0,0.0,4.0
52903,27747.0,27746.0,0.0,2.0
52904,28078.0,28079.0,0.0,2.0
52905,28074.0,52713.0,0.0,5.0
52906,28011.0,28016.0,0.0,2.0
52907,28009.0,28007.0,0.0,2.0
52908,28005.0,52906.0,0.0,3.0
52909,28003.0,52461.0,0.0,3.0
52910,28002.0,47263.0,0.0,2.0
52911,28000.0,28001.0,0.0,2.0
52912,27999.0,52909.0,0.0,4.0
52913,27994.0,27997.0,0.0,2.0
52914,27993.0,27983.0,0.0,2.0
52915,28012.0,47488.0,0.0,2.0
52916,27991.0,52913.0,0.0,3.0
52917,27988.0,48860.0,0.0,2.0
52918,27987.0,52882.0,0.0,7.0
52919,27986.0,52435.0,0.0,5.0
52920,27984.0,27985.0,0.0,2.0
52921,27982.0,27981.0,0.0,2.0
52922,27980.0,19049.0,0.0,2.0
52923,27977.0,52793.0,0.0,3.0
52924,27971.0,52923.0,0.0,4.0
52925,27967.0,52788.0,0.0,5.0
52926,27989.0,52917.0,0.0,3.0
52927,28075.0,52905.0,0.0,6.0
52928,28018.0,52908.0,0.0,4.0
52929,28022.0,52928.0,0.0,5.0
52930,28071.0,28072.0,0.0,2.0
52931,28069.0,28063.0,0.0,2.0
52932,28064.0,52931.0,0.0,3.0
52933,28060.0,28059.0,0.0,2.0
52934,28054.0,28053.0,0.0,2.0
52935,28051.0,28052.0,0.0,2.0
52936,28050.0,28379.0,0.0,2.0
52937,28049.0,52885.0,0.0,7.0
52938,28048.0,21015.0,0.0,2.0
52939,28020.0,52929.0,0.0,6.0
52940,28047.0,52938.0,0.0,3.0
52941,28044.0,52932.0,0.0,4.0
52942,28043.0,52941.0,0.0,5.0
52943,28040.0,52936.0,0.0,3.0
52944,28039.0,28065.0,0.0,2.0
52945,28038.0,28037.0,0.0,2.0
52946,28036.0,28035.0,0.0,2.0
52947,28034.0,52918.0,0.0,8.0
52948,28032.0,52872.0,0.0,3.0
52949,28031.0,52833.0,0.0,3.0
52950,28045.0,52875.0,0.0,6.0
52951,27742.0,27741.0,0.0,2.0
52952,27740.0,27739.0,0.0,2.0
52953,27737.0,27736.0,0.0,2.0
52954,27507.0,27506.0,0.0,2.0
52955,27505.0,17506.0,0.0,2.0
52956,27504.0,52955.0,0.0,3.0
52957,27503.0,35434.0,0.0,2.0
52958,27502.0,27475.0,0.0,2.0
52959,27501.0,52958.0,0.0,3.0
52960,27499.0,27500.0,0.0,2.0
52961,27497.0,27496.0,0.0,2.0
52962,27492.0,52960.0,0.0,3.0
52963,27508.0,686.0,0.0,2.0
52964,27491.0,52732.0,0.0,3.0
52965,27488.0,27487.0,0.0,2.0
52966,27486.0,52964.0,0.0,4.0
52967,27485.0,52966.0,0.0,5.0
52968,27484.0,52962.0,0.0,4.0
52969,27483.0,33318.0,0.0,2.0
52970,27481.0,52968.0,0.0,5.0
52971,27480.0,52970.0,0.0,6.0
52972,27479.0,27472.0,0.0,2.0
52973,27478.0,52972.0,0.0,3.0
52974,27490.0,27489.0,0.0,2.0
52975,27477.0,39524.0,0.0,2.0
52976,27509.0,52963.0,0.0,3.0
52977,27511.0,27512.0,0.0,2.0
52978,27552.0,52950.0,0.0,7.0
52979,27551.0,27550.0,0.0,2.0
52980,27548.0,27549.0,0.0,2.0
52981,27545.0,10910.0,0.0,2.0
52982,27543.0,52603.0,0.0,8.0
52983,27542.0,50475.0,0.0,2.0
52984,27541.0,52983.0,0.0,3.0
52985,27539.0,27538.0,0.0,2.0
52986,27536.0,27537.0,0.0,2.0
52987,27510.0,10471.0,0.0,2.0
52988,27534.0,27535.0,0.0,2.0
52989,27528.0,27527.0,0.0,2.0
52990,27526.0,27525.0,0.0,2.0
52991,27523.0,52969.0,0.0,3.0
52992,27522.0,28864.0,0.0,2.0
52993,27521.0,52992.0,0.0,3.0
52994,27519.0,27520.0,0.0,2.0
52995,27517.0,27516.0,0.0,2.0
52996,27515.0,52991.0,0.0,4.0
52997,27514.0,27513.0,0.0,2.0
52998,27533.0,27532.0,0.0,2.0
52999,27553.0,52978.0,0.0,8.0
53000,27476.0,52975.0,0.0,3.0
53001,27473.0,19858.0,0.0,2.0
53002,27424.0,27423.0,0.0,2.0
53003,27422.0,27421.0,0.0,2.0
53004,27420.0,52408.0,0.0,4.0
53005,27419.0,27418.0,0.0,2.0
53006,27415.0,52703.0,0.0,3.0
53007,27414.0,27413.0,0.0,2.0
53008,27411.0,15473.0,0.0,2.0
53009,27410.0,53006.0,0.0,4.0
53010,27409.0,53009.0,0.0,5.0
53011,27426.0,27425.0,0.0,2.0
53012,27407.0,52894.0,0.0,5.0
53013,27402.0,27403.0,0.0,2.0
53014,27400.0,27845.0,0.0,2.0
53015,27395.0,28825.0,0.0,2.0
53016,27394.0,53015.0,0.0,3.0
53017,27393.0,52774.0,0.0,6.0
53018,27391.0,27392.0,0.0,2.0
53019,27390.0,52684.0,0.0,4.0
53020,27385.0,52699.0,0.0,4.0
53021,27382.0,52762.0,0.0,3.0
53022,27404.0,53017.0,0.0,7.0
53023,27474.0,52959.0,0.0,4.0
53024,27430.0,52925.0,0.0,6.0
53025,27437.0,27436.0,0.0,2.0
53026,27471.0,52973.0,0.0,4.0
53027,27470.0,52811.0,0.0,9.0
53028,27468.0,53023.0,0.0,5.0
53029,27467.0,53028.0,0.0,6.0
53030,27464.0,27465.0,0.0,2.0
53031,27463.0,53029.0,0.0,7.0
53032,27462.0,53031.0,0.0,8.0
53033,27461.0,27460.0,0.0,2.0
53034,27459.0,27458.0,0.0,2.0
53035,27434.0,27435.0,0.0,2.0
53036,27456.0,27453.0,0.0,2.0
53037,27452.0,52802.0,0.0,4.0
53038,27451.0,523.0,0.0,2.0
53039,27450.0,27449.0,0.0,2.0
53040,27448.0,52538.0,0.0,3.0
53041,27447.0,53027.0,0.0,10.0
